Gene_ID,Gene_Symbol,BP_Feature1,BP_Feature2,BP_Feature3,MF_Feature1,MF_Feature2,MF_Feature3,CC_Feature1,CC_Feature2,CC_Feature3
ENSG00000140474,ULK3,autophagosome assembly,positive regulation of smoothened signaling pathway,piecemeal microautophagy of the nucleus,histone h3t11 kinase activity,histone h2bs14 kinase activity,histone h2axs139 kinase activity,autophagosome,phagophore assembly site membrane,cytosol
ENSG00000150403,TMCO3,ion transport,cellular homeostasis,membrane potential regulation,antiporter activity,proton transmembrane transport,ion channel activity,plasma membrane,organelle membrane,endomembrane system
ENSG00000198858,R3HDM4,regulation of transcription,dna replication,chromatin organization,dna binding,rna polymerase ii regulatory region sequence specific binding,transcriptional repressor activity,nucleus,nucleoplasm,nuclear speckles
ENSG00000115902,SLC1A4,amino acid transport,glutamate transport,synaptic transmission,alanine transmembrane transporter activity,aspartate transmembrane transporter activity,glutamate transmembrane transporter activity,plasma membrane,exosome,dendrite
ENSG00000081803,CADPS2,dense core granule exocytosis,positive regulation of exocytosis,synaptic vesicle exocytosis,metal ion binding,lipid binding,calcium ion binding,cytoplasmic vesicle,glutamatergic synapse,intracellular membrane-bounded organelle
ENSG00000138078,PREPL,regulation of synaptic vesicle exocytosis,proteolysis,retrograde transport,serine-type endopeptidase activity,peptidase activity,serine-type peptidase activity,golgi apparatus,nucleus,cytoplasm
ENSG00000104888,SLC17A7,synaptic transmission,regulation of synaptic vesicle endocytosis,glutamatergic transmission,l-glutamate transmembrane transporter activity,potassium:proton antiporter activity,sodium:phosphate symporter activity,synaptic vesicle membrane,excitatory synapse,cytoplasmic vesicle
ENSG00000118997,DNAH7,ciliary beating,cilium movement,microtubule-based process,minus-end-directed microtubule motor activity,atp hydrolysis activity,dynein intermediate chain binding,motile cilium,microtubule,inner dynein arm
ENSG00000186897,C1QL4,negative regulation of erk1 and erk2 cascade,negative regulation of fibroblast proliferation,fibroblast proliferation,identical protein binding,protein binding,complement activation,extracellular space,collagen trimer,extracellular region
ENSG00000131620,ANO1,regulation of secretion,cellular response to stimulus,ion transport,calcium-activated chloride channel activity,chloride channel activity,transmembrane transporter activity,plasma membrane,exosome,intracellular compartment
ENSG00000185610,DBX2,regulation of transcription by rna polymerase ii,regulation of dna-templated transcription,developmental process,dna binding,transcriptional activator activity,protein binding,nucleus,chromatin,nucleoplasm
ENSG00000174695,TMEM167A,constitutive secretory pathway,protein transport,intracellular trafficking,protein binding,receptor binding,transmembrane transporter activity,golgi apparatus,trans-golgi network,membrane microdomain
ENSG00000121446,RGSL1,regulation of cell growth,signal transduction,programmed cell death,gtpase activator activity,protein binding,receptor tyrosine kinase activity,plasma membrane,lipid raft,endoplasmic reticulum
ENSG00000021461,CYP3A43,steroid metabolic process,cytochrome metabolic process,drug metabolism,monooxygenase activity,oxidoreductase activity,acting on paired donors,endoplasmic reticulum membrane,intracellular membrane-bounded organelle,microsomal membrane
ENSG00000235194,PPP1R3E,regulation of glycogen biosynthetic process,positive regulation of glycogen biosynthetic process,glycogen metabolic process,phosphorylase phosphatase activity,protein phosphatase 1 binding,small molecule binding,glycogen granule,protein phosphatase type 1 complex,cytosol
ENSG00000151014,NOCT,mrna stabilization,negative regulation of gene expression,circadian regulation of gene expression,poly(a)-specific ribonuclease activity,mrna binding,'-5'-rna exonuclease activity,nucleoplasm,p-body,cytoplasm
ENSG00000115652,UXS1,udp-d-xylose biosynthetic process,d-xylose metabolic process,glycosylation,nad+ binding,udp-glucuronate decarboxylase activity,protein homodimerization activity,golgi cisterna membrane,exosome,endoplasmic reticulum membrane
ENSG00000177303,CASKIN2,cell adhesion,cell migration,signal transduction,protein serine/threonine kinase activity,protein binding,gtpase activator activity,cytoplasm,membrane raft,focal adhesion
ENSG00000159733,ZFYVE28,negative regulation of epidermal growth factor receptor signaling pathway,cellular response to growth factor stimulus,signal transduction,phosphatidylinositol-3-phosphate binding,protein kinase binding,receptor tyrosine kinase activity,endosome membrane,plasma membrane,cytosol
ENSG00000116147,TNR,negative regulation of axon extension,synaptic transmission,long-term synaptic potentiation,extracellular matrix structural constituent,integrin binding,cell adhesion molecule activity,perineuronal net,tenascin complex,membrane raft
ENSG00000139155,SLCO1C1,regulation of transport,organic anion transport,bile acid transport,bile acid transmembrane transporter activity,organic anion transmembrane transporter activity,sodium-independent transmembrane transporter activity,plasma membrane,basolateral plasma membrane,cell-cell junction
ENSG00000066032,CTNNA2,regulation of neuron projection development,negative regulation of arp2/3 complex-mediated actin nucleation,dendrite morphogenesis,actin filament binding,cadherin binding,protein binding,actin cytoskeleton,adherens junction,none
ENSG00000260314,MRC1,cellular response to interleukin-4,symbiont entry into host cell,endocytosis,d-mannose binding,transmembrane signaling receptor activity,carbohydrate binding,plasma membrane,endosome,endosome membrane
ENSG00000188487,INSC,establishment of mitotic spindle orientation,regulation of asymmetric cell division,apical protein localization,cytoskeletal anchor activity,protein domain specific binding,protein-macromolecule adaptor activity,apical cortex,cell cortex,plasma membrane
ENSG00000130921,C12orf65,translational termination,mrna decay,protein targeting to mitochondria,translation release factor activity,gtpase activity,peptidyl-trna hydrolase activity,mitochondrial inner membrane,mitochondrial ribosome,matrix
ENSG00000097096,SYDE2,regulation of ras protein signal transduction,regulation of small gtpase mediated signal transduction,cell migration,gtpase activator activity,receptor tyrosine kinase binding,protein serine/threonine kinase binding,cytosol,plasma membrane,synapse
ENSG00000196268,ZNF493,regulation of transcription by rna polymerase ii,positive regulation of transcription by rna polymerase ii,transcription factor binding,dna-binding transcription activator activity,rna polymerase ii cis-regulatory region sequence-specific dna binding,zinc ion binding,nucleus,nuclear chromatin,transcriptional repressor complex
ENSG00000114349,GNAT1,regulation of opsin-mediated signaling pathway,phototransduction,dopamine secretion,gtpase activity,gtp binding,guanyl nucleotide binding,photoreceptor outer segment membrane,heterotrimeric g-protein complex,neuronal cell body
ENSG00000175970,UNC119B,ciliary assembly,cell projection organization,nervous system development,protein binding,lipid binding,vesicle transport,cilium,ciliary transition zone,cytosol
ENSG00000095574,IKZF5,negative regulation of transcription by rna polymerase ii,regulation of transcription by rna polymerase ii,apoptotic process,rna polymerase ii cis-regulatory region sequence-specific dna binding,zinc ion binding,dna-binding transcription repressor activity,nucleus,nucleoplasm,protein-containing complex
ENSG00000154845,PPP4R1,regulation of cell cycle,signal transduction,cellular response to stimulus,protein serine/threonine phosphatase activity,protein binding,regulator of protein phosphatase activity,cytoplasm,nuclear membrane,protein phosphatase 4 complex
,SARS,viral replication,rna binding,cell proliferation regulation,helicase activity,rna polymerase activity,nucleoside triphosphate hydrolase activity,cytoplasm,endoplasmic reticulum membrane,viral ribonucleoprotein complex
ENSG00000151023,ENKUR,flagellated sperm motility,establishment of left/right asymmetry,cell cycle regulation,protein binding,sh3 domain binding,transcription factor binding,sperm flagellum,microtubule cytoskeleton,nucleus
ENSG00000186971,KRTAP13-4,keratin filament assembly,cell differentiation,response to stress,protein dimerization activity,structural molecule activity,protein binding,cytoskeleton,intermediate filament,cytoplasm
ENSG00000163870,TPRA1,negative regulation of mitotic cell cycle phase transition,g protein-coupled receptor signaling pathway,signal transduction,g protein-coupled receptor activity,transmembrane receptor protein tyrosine kinase activity,ligand-dependent receptor binding,plasma membrane,lipid raft,membrane microdomain
ENSG00000154079,SDHAF4,innate immune response,mitochondrial respiratory chain complex ii assembly,tricarboxylic acid cycle,enzyme activator activity,protein binding,protein folding chaperone,mitochondrion,mitochondrial matrix,membrane
ENSG00000188994,ZNF292,regulation of transcription by rna polymerase ii,positive regulation of transcription by rna polymerase ii,nucleic acid metabolic process,dna-binding transcription factor activity,rna polymerase ii-specific,dna binding,nucleus,nuclear speck,nucleoplasm
ENSG00000196620,UGT2B15,xenobiotic metabolic process,steroid metabolic process,estrogen metabolic process,glucuronosyltransferase activity,udp-glycosyltransferase activity,glycosyltransferase activity,endoplasmic reticulum membrane,endoplasmic reticulum,membrane
ENSG00000074964,ARHGEF10L,regulation of actin cytoskeleton,positive regulation of stress fiber assembly,signaling pathway regulation,guanyl-nucleotide exchange factor activity,gtpase activator activity,receptor tyrosine kinase binding,cytoplasm,membrane ruffles,focal adhesions
ENSG00000172724,CCL19,positive regulation of t-helper 1 cell differentiation,positive regulation of interleukin-1 beta production,positive regulation of tumor necrosis factor production,chemokine activity,ccr7 chemokine receptor binding,ccr10 chemokine receptor binding,extracellular region,extracellular space,membrane microdomain
ENSG00000172830,SSH3,regulation of transcription by rna polymerase ii,negative regulation of actin filament polymerization,chromatin remodeling,rna polymerase ii ctd heptapeptide repeat t4 phosphatase activity,rna polymerase ii ctd heptapeptide repeat s2 phosphatase activity,calmodulin-dependent protein phosphatase activity,nucleus,cytoskeleton,cytoplasm
ENSG00000162104,ADCY9,cyclic nucleotide biosynthetic process,camp biosynthetic process,adenylate cyclase-activating g protein-coupled receptor signaling pathway,adenylate cyclase activity,atp binding,metal ion binding,plasma membrane,cytosol,dendrite
ENSG00000167130,DOLPP1,protein glycosylation,dolichyl diphosphate biosynthetic process,cellular response to stress,dolichyldiphosphatase activity,hydrolase activity,phosphotransferase activity,endoplasmic reticulum membrane,endoplasmic reticulum lumen,golgi apparatus
ENSG00000171794,UTF1,positive regulation of transcription by rna polymerase ii,regulation of transcription by rna polymerase ii,cell differentiation,transcription coactivator activity,dna binding,protein heterodimerization,nucleus,nucleoplasm,chromatin
ENSG00000103160,HSDL1,protein folding,lipid metabolic process,cell cycle regulation,steroid dehydrogenase activity,oxidoreductase activity,protein-protein interaction,mitochondrion,cytosol,nucleus
ENSG00000175646,PRM1,chromosome condensation,chromatin remodeling,cell cycle regulation,dna binding,protein dimerization,histone chaperone activity,nucleus,chromosome,mitotic spindle
,ADSSL1,cell proliferation,regulation of apoptotic process,dna replication,transferase activity,rna binding,protein binding,nucleus,cytoplasm,plasma membrane
ENSG00000092758,COL9A3,extracellular matrix organization,collagen fibrillogenesis,developmental cell migration,protein homodimerization activity,collagen binding,structural molecule activity,collagen type ix trimer,collagen-containing extracellular matrix,endoplasmic reticulum lumen
ENSG00000132819,RBM38,regulation of rna splicing,mrna processing,regulation of myotube differentiation,mrna 3'-utr binding,rna binding,protein binding,nucleus,cytoplasm,spliceosome
ENSG00000166592,RRAD,regulation of cell growth,signal transduction,gtpase activity,gtp binding,calcium channel regulator activity,protein kinase regulation,plasma membrane,cytosol,nucleus
ENSG00000119685,TTLL5,ciliary beat,microtubule polymerization,dna replication,tubulin binding,protein-glutamic acid ligase activity,metal ion binding,cytoskeleton,centrosome,mitotic spindle
ENSG00000037042,TUBG2,mitotic sister chromatid segregation,mitotic spindle organization,microtubule nucleation,gtp binding,structural constituent of cytoskeleton,tubulin binding,spindle microtubule,cytoplasmic microtubule,microtubule cytoskeleton
ENSG00000138073,PREB,regulation of copii vesicle coating,vesicle-mediated transport,protein transport,guanyl-nucleotide exchange factor activity,gtpase binding,dna binding,endoplasmic reticulum exit site,endoplasmic reticulum membrane,nucleus
ENSG00000081307,UBA5,regulation of type ii interferon production,reticulophagy,protein k69-linked ufmylation,ufm1 activating enzyme activity,ubiquitin-like modifier activating enzyme activity,protein homodimerization activity,endoplasmic reticulum membrane,nucleus,cytoplasm
ENSG00000105737,GRIK5,regulation of synaptic vesicle fusion to presynaptic active zone membrane,glutamatergic synapse formation,modulation of chemical synaptic transmission,ligand-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential,kainate selective glutamate receptor activity,transmitter-gated monoatomic ion channel activity,postsynaptic density membrane,hippocampal mossy fiber to ca3 synapse,postsynaptic membrane
ENSG00000092096,SLC22A17,iron ion transport,intracellular iron ion homeostasis,transmembrane transport,transmembrane transporter activity,protein binding,receptor tyrosine kinase activity,vacuolar membrane,plasma membrane,organelle membrane
ENSG00000102218,RP2,ciliary assembly,post-golgi vesicle-mediated transport,protein folding,gtpase activator activity,gtp binding,unfolded protein binding,cilium,periciliary membrane compartment,golgi apparatus
ENSG00000197177,ADGRA1,cell surface receptor signaling pathway,cell adhesion,signal transduction,g protein-coupled receptor activity,ligand binding,transmembrane transporter activity,plasma membrane,focal adhesion,synapse
ENSG00000161091,MFSD12,regulation of melanin biosynthetic process,negative regulation of melanin biosynthetic process,amino acid transport,cysteine transmembrane transporter activity,symporter activity,transmembrane transporter activity,melanosome,lysosome,plasma membrane
ENSG00000127954,STEAP4,iron import into cell,copper ion import,protein homotrimerization,cupric reductase (nadh) activity,ferric-chelate reductase (nadph) activity,metal ion binding,endosome membrane,early endosome membrane,golgi apparatus
ENSG00000081014,AP4E1,vesicle-mediated transport,intracellular protein transport,protein targeting,cargo adaptor activity,protein binding,receptor binding,trans-golgi network membrane,golgi apparatus,endosome lumen
ENSG00000167772,ANGPTL4,regulation of lipid metabolic process,negative regulation of apoptotic process,positive regulation of angiogenesis,enzyme inhibitor activity,protein binding,identical protein binding,extracellular space,collagen-containing extracellular matrix,blood microparticle
ENSG00000163507,CIP2A,chromosome organization,dna damage response,cell cycle progression,protein phosphatase inhibitor activity,cadherin binding,protein homodimerization activity,chromosome,cytoplasm,plasma membrane
ENSG00000176890,TYMS,dttp biosynthetic process,nucleotide biosynthetic process,regulation of translation,thymidylate synthase activity,folic acid binding,protein homodimerization activity,nucleus,mitochondrion,cytosol
ENSG00000177508,IRX3,regulation of transcription by rna polymerase ii,negative regulation of transcription by rna polymerase ii,dna-templated transcription,dna-binding transcription factor activity,rna polymerase ii-specific,sequence-specific double-stranded dna binding,nucleus,chromatin,cytoplasm
ENSG00000170340,B3GNT2,protein o-linked glycosylation,cellular response to leukemia inhibitory factor,axon guidance,n-acetyl-beta-d-glucosaminide beta-(1,-galactosyltransferase activity,n-acetyllactosaminide beta-1,golgi membrane,golgi apparatus,membrane
ENSG00000177191,B3GNT8,protein o-glycosylation,poly-n-acetyllactosamine biosynthetic process,carbohydrate derivative biosynthetic process,protein n-acetylglucosaminyltransferase activity,glycosyltransferase activity,hexosyltransferase activity,golgi membrane,extracellular exosome,endoplasmic reticulum membrane
ENSG00000263309,KRT23,intermediate filament organization,epithelial cell differentiation,cell adhesion,protein homodimerization,structural molecule activity,cytoskeletal protein binding,actin filament,cytoskeleton,keratin filament
ENSG00000140479,PCSK6,regulation of bmp signaling pathway,peptide hormone processing,protein processing,serine-type endopeptidase activity,peptidase activity,serine-type peptidase activity,endoplasmic reticulum,golgi lumen,extracellular region
ENSG00000173200,PARP15,negative regulation of transcription by rna polymerase ii,negative regulation of gene expression,dna damage response,nad+ binding,nad+-histone h2be35 glutamate adp-ribosyltransferase activity,dna repair protein mono-adp-ribosylation,nucleus,cytoplasm,nucleoplasm
ENSG00000108474,PIGL,gpi anchor biosynthetic process,protein modification process,cell adhesion,n-acetylglucosaminylphosphatidylinositol deacetylase activity,glycosyltransferase activity,hydrolase activity,endoplasmic reticulum membrane,plasma membrane,lipid droplet membrane
ENSG00000138615,CILP,negative regulation of transforming growth factor beta receptor signaling pathway,negative regulation of gene expression,negative regulation of insulin-like growth factor receptor signaling pathway,dinucleotide phosphatase activity,alkaline phosphatase activity,extracellular matrix structural constituent,extracellular exosome,collagen-containing extracellular matrix,extracellular region
ENSG00000078124,ACER3,positive regulation of cell population proliferation,sphingolipid metabolic process,ceramide catabolic process,n-acylsphingosine amidohydrolase activity,zinc ion binding,hydrolase activity,golgi apparatus,endoplasmic reticulum membrane,membrane
ENSG00000175161,CADM2,cell adhesion,regulation of cell migration,negative regulation of cell proliferation,calcium ion binding,protein dimerization activity,cadherin binding,synaptic membrane,neuron projection membrane,adherens junction
ENSG00000103274,NUBP1,regulation of cell growth,negative regulation of centrosome duplication,protein localization to cell cortex,atp binding,iron-sulfur cluster binding,metal ion binding,centrosome,nucleus,cytoskeleton
ENSG00000162572,SCNN1D,sodium ion transport,cellular response to aldosterone,sensory perception of salty taste,ligand-gated sodium channel activity,sodium channel activity,protein binding,plasma membrane,sodium channel complex,actin cytoskeleton
ENSG00000156875,MFSD14A,spermatogenesis,spermatid development,transmembrane transport,transmembrane transporter activity,lipid transporter activity,metal ion transport,membrane,vesicle lumen,lipid droplet membrane
ENSG00000064687,ABCA7,positive regulation of engulfment of apoptotic cell,positive regulation of erk1 and erk2 cascade,negative regulation of amyloid-beta formation,phosphatidylserine floppase activity,atp binding,abc-type transporter activity,endosome,golgi apparatus,ruffle membrane
ENSG00000241360,PDXP,regulation of transcription by rna polymerase ii,regulation of mitotic nuclear division,positive regulation of actin filament depolymerization,rna polymerase ii ctd heptapeptide repeat s5 phosphatase activity,rna polymerase ii ctd heptapeptide repeat s2 phosphatase activity,calmodulin-dependent protein phosphatase activity,actin cytoskeleton,cleavage furrow,lamellipodium membrane
ENSG00000173762,CD7,positive regulation of t cell cytokine production,t cell activation,adaptive immune response,transmembrane signaling receptor activity,protein tyrosine kinase activity,receptor binding,plasma membrane,membrane raft,lipid bilayer
ENSG00000147481,SNTG1,cell adhesion,signal transduction,cell migration,actin filament binding,protein complex assembly,receptor binding,cytoskeleton,ruffle membrane,nucleus
ENSG00000188937,NYX,visual perception,signal transduction,cell adhesion regulation,protein binding,calcium ion binding,receptor activity,extracellular matrix,plasma membrane,collagen-containing extracellular matrix
ENSG00000119411,BSPRY,regulation of immune response,positive regulation of innate immune response,cellular response to cytokine stimulus,ubiquitin protein ligase activity,metal ion binding,protein binding,cytoplasm,cell membrane,focal adhesion
ENSG00000168010,ATG16L2,macroautophagy,autophagosome assembly,negative stranded viral rna replication,atp binding,protein complex binding,ubiquitin-protein ligase activity,autophagosome,phagophore assembly site membrane,cytoplasm
ENSG00000103310,ZP2,regulation of fertilization,prevention of polyspermy,gamete recognition,acrosin binding,structural constituent of egg coat,protein-protein interactions,multivesicular body membrane,extracellular matrix,plasma membrane
ENSG00000280641,CDH4,cell adhesion,axon guidance,regulation of cell migration,cadherin binding,beta-catenin binding,calcium ion binding,adherens junction,cell junction,membrane microdomain
ENSG00000254415,SIGLEC14,cell adhesion,immune response regulation,signal transduction,sialic acid binding,glycosaminoglycan binding,lectin activity,plasma membrane,extracellular space,cytoplasm
ENSG00000263014,ATP6V1G3,synaptic vesicle lumen acidification,proton transmembrane transport,protein localization to vacuole,proton-transporting atpase activity,atp hydrolysis activity,rotational mechanism,vacuolar proton-transporting v-type atpase complex,plasma membrane,endosome membrane
ENSG00000105516,DBP,regulation of transcription by rna polymerase ii,positive regulation of transcription by rna polymerase ii,rhythmic process,dna-binding transcription factor activity,rna polymerase ii-specific,sequence-specific double-stranded dna binding,chromatin,nucleus,rna polymerase ii transcription regulator complex
ENSG00000145384,FABP2,intestinal lipid absorption,fatty acid transport,long-chain fatty acid transport,long-chain fatty acid binding,protein binding,lipid binding,microvillus,apical cortex,nucleus
ENSG00000256060,TRAPPC2B,positive regulation of gene expression,vesicle-mediated transport,copii vesicle coating,transcription corepressor binding,protein binding,transcription regulator inhibitor activity,endoplasmic reticulum,nuclear outer membrane,trappii protein complex
ENSG00000128694,OSGEPL1,trna threonylcarbamoyladenosine modification,trna processing,rna metabolic process,none,none,none,mitochondrion,nucleolus,cytoplasm
ENSG00000137877,SPTBN5,actin cytoskeleton organization,lysosomal transport,cell migration,actin filament binding,myosin tail binding,dynactin binding,cortical actin cytoskeleton,plasma membrane,apical cortex
ENSG00000127920,GNG11,signal transduction,g protein-coupled receptor signaling pathway,cell differentiation,gtpase activity,g-protein beta-subunit binding,protein serine/threonine kinase regulator activity,plasma membrane,heterotrimeric g-protein complex,cytosol
ENSG00000164715,LMTK2,positive regulation of protein phosphorylation,transferrin transport,endocytic recycling,histone h3t3 kinase activity,histone h2as121 kinase activity,histone h2at120 kinase activity,recycling endosome,early endosome,membrane
ENSG00000102897,LYRM1,cell division,chromosome segregation,dna replication,dna binding,rna polymerase ii regulatory region binding,protein-dna interaction,nucleus,nucleolus,cytosol
ENSG00000083814,ZNF671,regulation of transcription by rna polymerase ii,regulation of dna-templated transcription,transcriptional regulation,dna binding,zinc ion binding,rna polymerase ii cis-regulatory region sequence-specific dna binding,nucleus,nuclear lumen,nucleoplasm
ENSG00000188690,UROS,heme biosynthesis,porphyrin synthesis,metabolic process,uroporphyrinogen-iii synthase activity,lyase activity,oxidoreductase activity,mitochondrion,endoplasmic reticulum,cytosol
ENSG00000160868,CYP3A4,retinol metabolic process,fatty acid metabolic process,cholesterol metabolic process,-alpha,-dihydroxyvitamin d3 23-hydroxylase activity,anandamide 14,endoplasmic reticulum,endoplasmic reticulum membrane,cytoplasm
ENSG00000138131,LOXL4,collagen fibril organization,extracellular matrix organization,cell adhesion,protein-lysine 6-oxidase activity,copper ion binding,oxidoreductase activity,extracellular exosome,collagen-containing extracellular matrix,plasma membrane
ENSG00000118707,TGIF2,regulation of transcription,negative regulation of gene expression,transcriptional repression,dna-binding transcription factor activity,rna polymerase ii cis-regulatory region sequence-specific dna binding,sequence-specific double-stranded dna binding,nucleus,chromatin,nucleoplasm
ENSG00000112333,NR2E1,regulation of transcription by rna polymerase ii,negative regulation of astrocyte differentiation,anterior commissure morphogenesis,sequence-specific double-stranded dna binding,nuclear receptor activity,zinc ion binding,nucleus,nucleoplasm,chromatin
ENSG00000205707,ETFRF1,regulation of mitochondrial respiration,cellular respiration,oxidative phosphorylation,protein-protein interaction,electron transfer activity,atp synthesis coupled proton transport,mitochondrial matrix,inner mitochondrial membrane,crista
ENSG00000282003,TUBGCP3,microtubule nucleation,spindle assembly,mitotic cell cycle,gamma-tubulin binding,microtubule minus-end binding,structural constituent of cytoskeleton,spindle,centrosome,microtubule
ENSG00000146216,TTBK1,regulation of gene expression,positive regulation of cell activation,protein phosphorylation,histone h3k18 kinase activity,histone h2bs14 kinase activity,atp binding,nucleus,cytosol,microtubule associated complex
ENSG00000171763,SPATA5L1,cell cycle arrest,dna damage response,apoptosis,helicase activity,protein binding,kinase regulator activity,nucleus,centrosome,chromosome
ENSG00000129103,SUMF2,protein folding,er quality control,unfolded protein response,metal ion binding,protein phosphatase activity,sulfatase activity,endoplasmic reticulum membrane,endoplasmic reticulum lumen,golgi apparatus
ENSG00000110245,APOC3,negative regulation of fatty acid biosynthetic process,negative regulation of lipid catabolic process,regulation of cdc42 protein signal transduction,lipase inhibitor activity,cholesterol binding,high-density lipoprotein particle receptor binding,early endosome,extracellular exosome,very-low-density lipoprotein particle
ENSG00000186912,P2RY4,regulation of synaptic vesicle exocytosis,regulation of presynaptic cytosolic calcium ion concentration,cellular response to atp,g protein-coupled purinergic nucleotide receptor activity,g protein-coupled receptor activity,atp binding,presynaptic active zone membrane,glutamatergic synapse,plasma membrane
ENSG00000185340,GAS2L1,regulation of microtubule polymerization or depolymerization,cellular response to starvation,microtubule bundle formation,microtubule binding,actin filament binding,protein binding,microtubule plus-end,cytoskeleton,stress fiber
ENSG00000183153,GJD3,regulation of heart rate,regulation of cell communication,response to glucose,gap junction channel activity,monoatomic ion channel activity,protein binding,gap junction,plasma membrane,connexin complex
ENSG00000138821,SLC39A8,metal ion transport,cadmium ion import,zinc ion import,zinc:bicarbonate symporter activity,metal ion transmembrane transporter activity,monoatomic cation:bicarbonate symporter activity,plasma membrane,lysosomal membrane,organelle membrane
ENSG00000140497,SCAMP2,vesicle-mediated transport,cargo sorting,intracellular protein trafficking,protein binding,receptor ligand activity,lipid binding,recycling endosome membrane,trans-golgi network membrane,multivesicular body membrane
ENSG00000137731,FXYD2,positive regulation of p-type sodium:potassium-exchanging transporter activity,sodium ion export across plasma membrane,potassium ion import across plasma membrane,sodium channel regulator activity,atpase activator activity,ion channel regulator activity,plasma membrane,sodium:potassium-exchanging atpase complex,membrane raft
ENSG00000075790,BCAP29,protein transport,intracellular protein transport,apoptotic process,protein binding,receptor binding,signal transduction,endoplasmic reticulum membrane,endoplasmic reticulum,membrane
ENSG00000138271,GPR87,signal transduction,signal reception,cellular response to stimulus,g protein-coupled receptor activity,ligand-binding,purinergic receptor activity,plasma membrane,lipid raft,extracellular region
ENSG00000163607,GTPBP8,protein folding,mitochondrial translation,cellular respiration,gtpase activity,metal ion binding,protein dimerization,mitochondrion membrane,mitochondrial matrix,cytoplasmic ribosome
ENSG00000132330,SCLY,amino acid metabolic process,selenocysteine catabolic process,protein degradation,selenocysteine lyase activity,protein homodimerization activity,vitamin b6 binding,golgi apparatus,cytosol,catalytic complex
ENSG00000153487,ING1,negative regulation of transcription by rna polymerase ii,negative regulation of cell growth,protein import into nucleus,methylated histone binding,protein binding,metal ion binding,nucleus,sin3-type complex,chromatin
ENSG00000063761,ADCK1,negative regulation of mitochondrial fusion,mitochondrion organization,regulation of apoptotic process,protein serine/threonine kinase activity,atp binding,lipid metabolic process,mitochondrion,mitochondrial inner membrane,nuclear envelope
ENSG00000142892,PIGK,attachment of gpi anchor to protein,gpi anchor biosynthetic process,proteolysis,gpi-anchor transamidase activity,gpi anchor binding,protein disulfide isomerase activity,endoplasmic reticulum membrane,endoplasmic reticulum,gpi-anchor transamidase complex
ENSG00000006576,PHTF2,regulation of gene expression,protein targeting to er,rna splicing,dna-binding,atp binding,rna polymerase ii cis-regulatory region sequence binding,endoplasmic reticulum membrane,lipid droplet membrane,vesicle membrane
ENSG00000155463,OXA1L,protein insertion into mitochondrial inner membrane from matrix,mitochondrial protein quality control,mitochondrial respiratory chain complex i assembly,membrane insertase activity,mitochondrial ribosome binding,protein homodimerization activity,mitochondrion,mitochondrial inner membrane,mitochondrial matrix
ENSG00000006534,ALDH3B1,sphingolipid catabolic process,cellular response to oxidative stress,alcohol metabolic process,long-chain fatty aldehyde dehydrogenase (nad+) activity,benzaldehyde dehydrogenase (nadp+) activity,aldehyde dehydrogenase (nad+) activity,extracellular exosome,plasma membrane,vesicle
ENSG00000120094,HOXB1,regulation of transcription by rna polymerase ii,positive regulation of transcription by rna polymerase ii,embryonic skeletal system morphogenesis,dna-binding transcription activator activity,rna polymerase ii cis-regulatory region sequence-specific dna binding,sequence-specific double-stranded dna binding,nucleus,chromatin,nucleoplasm
ENSG00000130052,STARD8,regulation of rho protein signal transduction,cell migration,actin filament organization,gtpase activator activity,lipid binding,receptor tyrosine kinase activity,focal adhesion,adherens junction,cytoskeleton
ENSG00000178732,GP5,positive regulation of platelet activation,blood coagulation,release of sequestered calcium ion into cytosol,receptor binding,protein binding,signal transduction,extracellular exosome,glycoprotein ib-ix-v complex,plasma membrane
ENSG00000159713,TPPP3,microtubule polymerization,positive regulation of protein polymerization,cell migration,tubulin binding,cytoskeletal protein binding,gtpase activator activity,cytoplasm,microtubule bundle,perinuclear region of cytoplasm
ENSG00000139323,POC1B,sperm flagellum assembly,cilium assembly,centriole replication,protein binding,ubiquitin ligase activity,microtubule binding,centriole,centrosome,ciliary basal body
ENSG00000117697,NSL1,mitotic sister chromatid segregation,attachment of spindle microtubules to kinetochore,chromosome segregation,protein binding,dna binding,atp hydrolysis activity,kinetochore,chromosome,centromeric region
ENSG00000172590,MRPL52,mitochondrial translation,translation elongation,cellular respiration,structural constituent of ribosome,protein binding,rrna binding,mitochondrion,mitochondrial large ribosomal subunit,ribosome
ENSG00000067842,ATP2B3,calcium ion export across plasma membrane,regulation of cytosolic calcium ion concentration,regulation of presynaptic cytosolic calcium ion concentration,p-type calcium transporter activity involved in regulation of presynaptic cytosolic calcium ion concentration,atp hydrolysis activity,calcium ion transmembrane transporter activity,presynaptic membrane,glutamatergic synapse,extracellular vesicle
ENSG00000179772,FOXS1,regulation of transcription by rna polymerase ii,negative regulation of dna-templated transcription,positive regulation of multicellular organism growth,dna-binding transcription factor activity,rna polymerase ii cis-regulatory region sequence-specific dna binding,dna-binding transcription repressor activity,nucleus,chromatin,nuclear dna
ENSG00000086712,TXLNG,regulation of cell cycle process,regulation of cell proliferation,cell cycle arrest,dna-binding transcription factor binding,syntaxin binding,protein serine/threonine kinase binding,nucleus,cytosol,membrane
